,Loyalty_Program_Status,Gender,CustomerSatisfaction,Installment_Number,Total_Installments,Installment_Amount,Principal_Amount,Interest_Amount,Amount_Due,Currency,Payment_Method,Order Status,Delay_Days,Repayment_Status,Total_Loans,Segment,Quantity,Unit Price,Total Amount,Discount Applied (%),Tax (%),Payment_Mode,Month Order Count,Avg Qantity,Cancelled Order Per Customer,Order Channel,ProductCategory,ProductBrand,ProductCategory2,Cost Price,Discount (%),PurchaseFrequency,Stock Status,Product Status,Customers_Location,Customer_Duration,Age_Group,installment_to_principal_ratio,interest_to_amount_due_ratio,remaining_installments,amount_per_unit,loans_per_purchase_cycle
10,Silver,FEMALE,3,10,12,395.35,4530.42,213.77,395.35,USD,Auto-Debit,Delivered,0,On-Time,1,SME,1,368,368,10,5,Credit Card,1,1,0,Online,Smartphones,Other Brands,Smartphones,497,10,1,In Stock,Inactive,"Great Falls, Montana",Old Customer,Young,0.08726563983030271,0.5407107626154041,2,368.0,1.0
11,Gold,FEMALE,2,4,6,378.78,2226.0,46.7,378.78,USD,Bank Transfer,Cancelled,144,Late,1,Corporate,6,902,5412,5,0,Cash,1,6,1,Offline,Laptops,Apple,Laptops,1062,10,14,In Stock,Inactive,"Great Falls, Montana",Old Customer,Middle age,0.17016172506738544,0.12329056444374045,2,902.0,0.07142857142857142
12,Silver,MALE,3,7,9,96.25,851.89,13.99,96.25,USD,Bank Transfer,Pending,0,On-Time,1,Corporate,3,666,1998,5,8,Cash,1,3,0,Offline,Tablets,Samsung,Tablets,333,20,1,In Stock,Archived,"Great Falls, Montana",New Customer,Middle age,0.112984070713355,0.14535064935064934,2,666.0,1.0
13,Bronze,MALE,5,4,6,451.77,2644.07,26.86,451.77,EUR,Auto-Debit,Shipped,69,Late,1,Corporate,2,436,871,10,0,Debit Card,1,2,0,Online,Headphones,Sony,Headphones,1030,10,2,In Stock,Inactive,"San Francisco, California",Old Customer,Old,0.17086158838457377,0.0594550324280054,2,435.5,0.5
14,Bronze,MALE,4,5,6,99.67,588.21,9.78,99.67,NGN,Wallet,Returned,0,On-Time,1,Retail,2,360,719,15,5,Credit Card,1,2,0,Online,Headphones,Apple,Headphones,777,15,12,In Stock,Inactive,"Yonkers, New York",Old Customer,Middle age,0.1694462861903062,0.0981238085682753,1,359.5,0.08333333333333333
15,Bronze,MALE,2,9,12,425.32,4905.14,198.65,425.32,NGN,Debit Card,Shipped,0,On-Time,1,SME,9,896,8064,5,5,Debit Card,1,9,0,Online,Tablets,HP,Tablets,1039,5,1,In Stock,Active,"Fairfield, Connecticut",Old Customer,Middle age,0.08670904398243474,0.46706009592777203,3,896.0,1.0
16,Bronze,FEMALE,4,3,9,173.67,1531.93,31.07,173.67,EUR,Bank Transfer,Delivered,0,On-Time,1,Retail,2,848,1696,10,0,Cash,1,2,0,Offline,Tablets,Samsung,Tablets,232,10,3,Low Stock,Inactive,"Fairfield, Connecticut",Old Customer,Young,0.11336679874406792,0.17890251626648243,6,848.0,0.3333333333333333
17,Platinum,MALE,1,1,12,134.75,1597.1,19.86,134.75,USD,Wallet,Delivered,36,Late,1,SME,9,445,4005,10,5,Debit Card,1,9,0,Online,Smartphones,Apple,Smartphones,872,20,16,In Stock,Active,"San Francisco, California",New Customer,Young,0.08437167365850605,0.14738404452690165,11,445.0,0.0625
18,Gold,MALE,5,9,9,391.17,3424.45,96.07,391.17,EUR,Bank Transfer,Pending,0,On-Time,1,Corporate,4,228,911,5,5,Debit Card,1,4,0,Online,Tablets,Apple,Tablets,1201,0,4,In Stock,Inactive,"San Clemente, California",New Customer,Young,0.11422856225087241,0.24559654370222664,0,227.75,0.25
19,Platinum,MALE,5,2,9,355.18,3163.75,32.84,355.18,USD,Wallet,Cancelled,125,Late,1,Retail,2,887,1775,15,10,PayPal,1,2,1,Online,Smart Watches,Samsung,Smart Watches,38,0,5,In Stock,Archived,"San Clemente, California",New Customer,Middle age,0.11226550770446464,0.09246016104510389,7,887.5,0.2
20,Silver,MALE,3,3,9,153.26,1334.12,45.2,153.26,USD,Debit Card,Delivered,57,Late,1,Retail,4,225,899,0,8,Credit Card,1,4,0,Online,Smartphones,Other Brands,Smartphones,803,5,4,In Stock,Archived,"Chicago, Illinois",Old Customer,Middle age,0.11487722243876114,0.2949236591413285,6,224.75,0.25
21,Bronze,MALE,2,6,6,800.72,4739.52,64.8,800.72,EUR,Bank Transfer,Cancelled,0,On-Time,1,Corporate,5,896,4480,15,8,PayPal,1,5,1,Online,Headphones,HP,Headphones,476,20,12,In Stock,Inactive,"Passaic, New Jersey",Old Customer,Middle age,0.168945378434947,0.08092716555100408,0,896.0,0.08333333333333333
22,Silver,MALE,4,5,6,495.34,2799.89,127.09,495.34,EUR,Auto-Debit,Pending,0,On-Time,1,SME,5,409,2045,15,8,Credit Card,1,5,0,Online,Laptops,HP,Laptops,69,20,18,In Stock,Inactive,"Passaic, New Jersey",Old Customer,Old,0.17691409305365569,0.2565712439940243,1,409.0,0.05555555555555555
23,Platinum,FEMALE,5,2,3,1300.33,3834.19,66.79,1300.33,USD,Auto-Debit,Shipped,2,On-Time,1,SME,2,226,452,0,10,Cash,1,2,0,Offline,Headphones,HP,Headphones,632,20,7,In Stock,Archived,"Passaic, New Jersey",Old Customer,Old,0.3391407311583411,0.05136388455238287,1,226.0,0.14285714285714285
24,Bronze,MALE,2,2,12,139.68,1647.1,29.04,139.68,NGN,Auto-Debit,Returned,0,On-Time,1,SME,2,467,933,5,0,Credit Card,1,2,0,Online,Headphones,Other Brands,Headphones,546,0,17,In Stock,Inactive,"Passaic, New Jersey",New Customer,Young,0.0848035941958594,0.2079037800687285,10,466.5,0.058823529411764705
25,Silver,FEMALE,1,3,12,371.9,4371.98,90.81,371.9,EUR,Debit Card,Shipped,0,On-Time,1,SME,9,561,5053,5,5,Credit Card,1,9,0,Online,Laptops,HP,Laptops,1235,5,10,In Stock,Active,"Passaic, New Jersey",New Customer,Old,0.08506443304864159,0.2441785426189836,9,561.4444444444445,0.1
26,Gold,FEMALE,4,2,12,258.73,3000.0,104.75,258.73,EUR,Debit Card,Delivered,142,Late,1,SME,10,484,4836,15,0,Credit Card,1,10,0,Online,Tablets,Samsung,Tablets,189,10,12,In Stock,Inactive,"Passaic, New Jersey",New Customer,Middle age,0.08624333333333334,0.40486221157190894,10,483.6,0.08333333333333333
27,Silver,MALE,5,8,12,411.78,4848.43,92.92,411.78,USD,Wallet,Delivered,0,On-Time,1,Retail,3,408,1225,10,5,Mobile Money,1,3,0,Online,Smartphones,Apple,Smartphones,528,15,5,In Stock,Inactive,"Chicago, Illinois",Old Customer,Old,0.0849305857772516,0.22565447569090294,4,408.3333333333333,0.2
28,Silver,MALE,1,2,6,564.05,3250.06,134.26,564.05,NGN,Wallet,Pending,126,Late,1,Corporate,1,776,776,10,5,Credit Card,1,1,0,Online,Smart Watches,HP,Smart Watches,603,20,18,In Stock,Inactive,"Chicago, Illinois",New Customer,Middle age,0.1735506421419912,0.23802854356883255,4,776.0,0.05555555555555555
29,Platinum,MALE,5,4,6,98.44,563.67,26.97,98.44,EUR,Auto-Debit,Cancelled,0,On-Time,1,SME,3,140,419,15,8,Cash,1,3,1,Offline,Headphones,Apple,Headphones,967,20,15,In Stock,Archived,"Homestead, Florida",Old Customer,Middle age,0.17464119076764775,0.2739739943112556,2,139.66666666666666,0.06666666666666667
30,Silver,FEMALE,2,6,12,158.03,1848.23,48.18,158.03,NGN,Wallet,Delivered,0,On-Time,1,Retail,4,820,3280,15,5,Credit Card,1,4,0,Online,Smartphones,Other Brands,Smartphones,966,20,10,In Stock,Inactive,"Homestead, Florida",Old Customer,Middle age,0.08550342760370733,0.3048788204771246,6,820.0,0.1
31,Gold,FEMALE,4,2,6,582.34,3355.89,138.13,582.34,USD,Wallet,Cancelled,0,On-Time,1,SME,7,530,3710,15,0,Credit Card,1,7,1,Online,Tablets,HP,Tablets,941,15,17,In Stock,Archived,"College Station, Texas",Old Customer,Young,0.1735277377983188,0.23719820036404848,4,530.0,0.058823529411764705
32,Bronze,MALE,2,3,3,965.87,2820.08,32.07,965.87,USD,Bank Transfer,Pending,0,On-Time,1,Retail,6,994,5966,5,10,Mobile Money,1,6,0,Online,Tablets,Other Brands,Tablets,498,20,2,In Stock,Archived,"Philadelphia, Pennsylvania",New Customer,Middle age,0.34249737596096563,0.03320322610703304,0,994.3333333333334,0.5
33,Platinum,FEMALE,2,8,12,186.02,2169.78,62.44,186.02,USD,Wallet,Shipped,66,Late,1,SME,9,486,4372,0,8,Credit Card,1,9,0,Online,Smartphones,Apple,Smartphones,1290,5,2,In Stock,Active,"Smartphones, Pennsylvania",Old Customer,Middle age,0.08573219404732277,0.33566283195355334,4,485.77777777777777,0.5
34,Gold,FEMALE,4,6,9,202.79,1767.64,57.44,202.79,USD,Debit Card,Returned,0,On-Time,1,Retail,3,370,1110,10,5,PayPal,1,3,0,Online,Smartphones,Apple,Smartphones,448,15,9,In Stock,Archived,"Fairfield, Ohio",Old Customer,Middle age,0.114723586250594,0.28324868090142513,3,370.0,0.1111111111111111
35,Platinum,MALE,5,2,3,307.6,908.69,14.1,307.6,USD,Bank Transfer,Shipped,23,Late,1,SME,3,692,2075,0,8,Debit Card,1,3,0,Online,Smartphones,HP,Smartphones,890,5,14,In Stock,Archived,"Louisville, Kentucky",New Customer,Middle age,0.3385092825936238,0.045838751625487645,1,691.6666666666666,0.07142857142857142
36,Gold,FEMALE,5,3,3,324.46,949.45,23.92,324.46,NGN,Debit Card,Delivered,4,On-Time,1,Corporate,2,439,878,5,10,Debit Card,1,2,0,Online,Headphones,Other Brands,Headphones,814,10,14,In Stock,Archived,"Louisville, Kentucky",Old Customer,Middle age,0.3417346885038706,0.07372249275719658,0,439.0,0.07142857142857142
37,Silver,FEMALE,2,2,3,527.61,1539.28,43.54,527.61,USD,Auto-Debit,Delivered,146,Late,1,Retail,1,321,321,5,5,Debit Card,1,1,0,Online,Tablets,Other Brands,Tablets,199,5,1,In Stock,Archived,"Toledo, Ohio",Old Customer,Middle age,0.34276414947248063,0.08252307575671423,1,321.0,1.0
38,Platinum,MALE,3,4,6,379.99,2174.44,105.48,379.99,USD,Auto-Debit,Pending,0,On-Time,1,Retail,8,924,7393,5,8,PayPal,1,8,0,Online,Laptops,Samsung,Laptops,1150,15,7,In Stock,Inactive,"Toledo, Ohio",Old Customer,Middle age,0.17475303986313717,0.27758625226979655,2,924.125,0.14285714285714285
39,Gold,MALE,2,4,9,370.46,3264.33,66.54,370.46,USD,Wallet,Cancelled,0,On-Time,1,Corporate,8,685,5483,15,0,Credit Card,1,8,1,Online,Smart Watches,Samsung,Smart Watches,412,10,10,Low Stock,Archived,"West Jordan, Utah",New Customer,Middle age,0.11348730060992608,0.17961453328294555,5,685.375,0.1
40,Platinum,FEMALE,2,2,3,1196.53,3537.03,52.57,1196.53,NGN,Bank Transfer,Delivered,0,On-Time,1,Retail,7,568,3979,15,5,Cash,1,7,0,Offline,Smart Watches,HP,Smart Watches,698,20,18,In Stock,Archived,"New York City, New York",Old Customer,Young,0.33828664161740213,0.043935379806607444,1,568.4285714285714,0.05555555555555555
41,Platinum,FEMALE,2,1,3,357.11,1031.89,16.5,357.11,USD,Auto-Debit,Cancelled,0,On-Time,1,Corporate,7,684,4789,10,10,Credit Card,1,7,1,Online,Smart Watches,HP,Smart Watches,1203,5,19,In Stock,Active,"Toronto, Ontario",Old Customer,Old,0.34607370940701043,0.04620425079107278,2,684.1428571428571,0.05263157894736842
42,Platinum,FEMALE,1,7,9,329.12,2870.54,91.51,329.12,NGN,Auto-Debit,Pending,86,Late,1,Corporate,3,632,1896,0,0,PayPal,1,3,0,Online,Tablets,Other Brands,Tablets,154,5,2,In Stock,Inactive,"Lawrence, Massachusetts",New Customer,Middle age,0.11465438558598731,0.2780444822557122,2,632.0,0.5
43,Silver,FEMALE,3,1,12,283.56,3307.55,95.18,283.56,EUR,Debit Card,Shipped,113,Late,1,Corporate,2,439,878,0,10,Mobile Money,1,2,0,Online,Headphones,HP,Headphones,26,0,4,In Stock,Active,"Toronto, Ontario",New Customer,Middle age,0.08573113029281491,0.3356608830582593,11,439.0,0.25
44,Bronze,FEMALE,5,2,3,309.33,886.03,41.96,309.33,NGN,Debit Card,Returned,0,On-Time,1,Retail,3,134,403,15,0,Cash,1,3,0,Offline,Smart Watches,Apple,Smart Watches,1486,5,18,In Stock,Inactive,"Omaha, Nebraska",New Customer,Old,0.34911910431926685,0.13564801344842078,1,134.33333333333334,0.05555555555555555
45,Bronze,FEMALE,1,6,6,764.91,4374.37,215.1,764.91,USD,Wallet,Shipped,93,Late,1,Retail,4,665,2659,5,8,Credit Card,1,4,0,Online,Smartphones,Samsung,Smartphones,1641,5,9,In Stock,Active,"Omaha, Nebraska",Old Customer,Young,0.17486175152079042,0.28120955406518416,0,664.75,0.1111111111111111
46,Bronze,FEMALE,3,5,12,179.29,2100.72,50.82,179.29,USD,Auto-Debit,Delivered,0,On-Time,1,Corporate,1,191,191,5,5,Cash,1,1,0,Offline,Tablets,Sony,Tablets,42,10,17,In Stock,Active,"Omaha, Nebraska",Old Customer,Middle age,0.08534692867207434,0.28345139160020083,7,191.0,0.058823529411764705
47,Platinum,MALE,3,4,12,172.16,1988.6,77.3,172.16,EUR,Auto-Debit,Delivered,76,Late,1,SME,10,910,9103,0,0,Cash,1,10,0,Offline,Laptops,Samsung,Laptops,607,20,16,In Stock,Archived,"Omaha, Nebraska",Old Customer,Young,0.08657346877200041,0.4490009293680297,8,910.3,0.0625
48,Bronze,FEMALE,4,9,12,133.13,1565.79,31.83,133.13,NGN,Wallet,Pending,66,Late,1,SME,9,999,8995,15,8,Mobile Money,1,9,0,Online,Smart Watches,Sony,Smart Watches,1092,5,17,In Stock,Inactive,"Omaha, Nebraska",Old Customer,Middle age,0.08502417310111829,0.23908961165777812,3,999.4444444444445,0.058823529411764705
49,Platinum,FEMALE,5,3,3,798.3,2344.64,50.27,798.3,NGN,Wallet,Cancelled,9,On-Time,1,Retail,3,575,1725,10,5,Debit Card,1,3,1,Online,Smartphones,Apple,Smartphones,466,15,1,In Stock,Active,"Omaha, Nebraska",New Customer,Middle age,0.3404787088849461,0.06297131404233998,0,575.0,1.0
50,Silver,MALE,2,5,9,305.33,2685.55,62.41,305.33,USD,Wallet,Delivered,0,On-Time,1,Retail,2,552,1103,5,8,Mobile Money,1,2,0,Online,Laptops,Samsung,Laptops,159,5,9,In Stock,Active,"Omaha, Nebraska",New Customer,Middle age,0.11369365679283572,0.204401794779419,4,551.5,0.1111111111111111
51,Platinum,MALE,5,6,9,150.46,1292.73,61.39,150.46,EUR,Bank Transfer,Cancelled,19,Late,1,Retail,5,705,3526,15,8,Debit Card,1,5,1,Online,Tablets,Other Brands,Tablets,56,0,18,In Stock,Active,"Omaha, Nebraska",New Customer,Young,0.11638934657662467,0.40801541938056624,3,705.2,0.05555555555555555
52,Bronze,FEMALE,4,2,12,212.1,2469.9,75.35,212.1,USD,Bank Transfer,Pending,0,On-Time,1,Corporate,2,263,526,10,8,PayPal,1,2,0,Online,Smart Watches,Sony,Smart Watches,1003,15,4,In Stock,Archived,"Omaha, Nebraska",Old Customer,Young,0.08587392202113445,0.3552569542668552,10,263.0,0.25
53,Platinum,FEMALE,2,1,9,429.15,3788.86,73.5,429.15,EUR,Wallet,Shipped,0,On-Time,1,Corporate,6,438,2627,5,5,Mobile Money,1,6,0,Online,Smartphones,HP,Smartphones,499,0,12,In Stock,Active,"Omaha, Nebraska",Old Customer,Young,0.113266259508137,0.17126878713736457,8,437.8333333333333,0.08333333333333333
54,Bronze,MALE,5,2,9,319.68,2816.04,61.12,319.68,NGN,Wallet,Returned,0,On-Time,1,Retail,8,744,5951,0,10,Cash,1,8,0,Offline,Smartphones,HP,Smartphones,613,0,1,In Stock,Active,"Toronto, Ontario",New Customer,Young,0.11352111475689267,0.19119119119119118,7,743.875,1.0
55,Silver,FEMALE,4,7,9,139.96,1218.11,41.51,139.96,NGN,Debit Card,Shipped,156,Late,1,SME,9,955,8595,5,0,PayPal,1,9,0,Online,Smart Watches,Samsung,Smart Watches,366,5,5,In Stock,Active,"Philadelphia, Pennsylvania",New Customer,Young,0.11489931122805003,0.2965847384967133,2,955.0,0.2
56,Bronze,MALE,2,8,9,404.08,3565.44,71.28,404.08,USD,Debit Card,Delivered,109,Late,1,SME,7,787,5511,10,0,PayPal,1,7,0,Online,Smart Watches,Samsung,Smart Watches,1616,20,19,In Stock,Active,"Toronto, Ontario",New Customer,Middle age,0.11333243582839705,0.17640071273015245,1,787.2857142857143,0.05263157894736842
57,Gold,FEMALE,3,2,3,1192.75,3428.07,103.18,1192.75,USD,Bank Transfer,Delivered,151,Late,1,Retail,9,476,4284,10,8,Mobile Money,1,9,0,Online,Laptops,Other Brands,Laptops,908,10,6,In Stock,Archived,"Los Angeles, California",New Customer,Young,0.34793630235088546,0.08650597359044226,1,476.0,0.16666666666666666
58,Platinum,MALE,3,3,3,1069.46,3156.2,52.19,1069.46,EUR,Debit Card,Pending,116,Late,1,Retail,9,761,6849,10,0,PayPal,1,9,0,Online,Tablets,Sony,Tablets,1331,0,15,In Stock,Inactive,"Los Angeles, California",New Customer,Old,0.3388441797097776,0.04880032913806968,0,761.0,0.06666666666666667
59,Gold,MALE,2,3,6,726.47,4282.85,75.94,726.47,EUR,Wallet,Cancelled,0,On-Time,1,Retail,8,923,7384,5,10,Credit Card,1,8,1,Online,Tablets,Apple,Tablets,313,0,2,In Stock,Archived,"Las Vegas, Nevada",New Customer,Old,0.16962303139264742,0.10453287816427381,3,923.0,0.5
60,Silver,FEMALE,5,3,3,1621.19,4646.79,216.79,1621.19,NGN,Wallet,Delivered,0,On-Time,1,Retail,8,190,1519,15,0,Cash,1,8,0,Offline,Headphones,Other Brands,Headphones,819,20,10,In Stock,Archived,"Franklin, Massachusetts",New Customer,Middle age,0.34888385315454323,0.13372275920774246,0,189.875,0.1
61,Platinum,MALE,3,8,9,427.7,3714.58,134.69,427.7,NGN,Auto-Debit,Cancelled,0,On-Time,1,Corporate,7,800,5598,15,10,Debit Card,1,7,1,Online,Smart Watches,Sony,Smart Watches,340,15,17,In Stock,Active,"San Francisco, California",New Customer,Old,0.11514087729972164,0.3149169978957213,1,799.7142857142857,0.058823529411764705
62,Gold,FEMALE,4,1,9,438.03,3847.17,95.13,438.03,EUR,Debit Card,Pending,6,On-Time,1,SME,8,951,7606,10,8,Credit Card,1,8,0,Online,Tablets,Other Brands,Tablets,1580,5,11,In Stock,Active,"Tulsa, Oklahoma",Old Customer,Middle age,0.11385771879069549,0.217176905691391,8,950.75,0.09090909090909091
63,Gold,MALE,1,2,12,78.06,906.77,29.92,78.06,NGN,Auto-Debit,Shipped,128,Late,1,Corporate,9,873,7858,0,5,Credit Card,1,9,0,Online,Laptops,Apple,Laptops,1209,10,11,In Stock,Active,"Tulsa, Oklahoma",Old Customer,Old,0.08608577698865204,0.3832949013579298,10,873.1111111111111,0.09090909090909091
64,Silver,MALE,5,9,12,346.36,4043.26,113.03,346.36,NGN,Wallet,Returned,31,Late,1,Retail,6,805,4827,0,5,Cash,1,6,0,Offline,Smartphones,Other Brands,Smartphones,847,15,3,In Stock,Archived,"Stockton, California",Old Customer,Middle age,0.08566354872058685,0.326336759441044,3,804.5,0.3333333333333333
65,Gold,MALE,5,5,9,114.48,1010.15,20.2,114.48,NGN,Bank Transfer,Shipped,94,Late,1,Retail,5,611,3057,5,8,Credit Card,1,5,0,Online,Smart Watches,Apple,Smart Watches,628,15,17,In Stock,Active,"Stockton, California",Old Customer,Young,0.1133297035093798,0.17645003494060096,4,611.4,0.058823529411764705
66,Silver,MALE,5,6,12,211.37,2421.39,78.91,211.37,USD,Debit Card,Delivered,45,Late,1,Corporate,3,346,1038,15,5,Credit Card,1,3,0,Online,Smartphones,HP,Smartphones,200,0,9,In Stock,Archived,"Charlotte, North Carolina",Old Customer,Young,0.08729283593307977,0.37332639447414484,6,346.0,0.1111111111111111
67,Bronze,MALE,2,1,9,504.99,4404.75,140.17,504.99,EUR,Bank Transfer,Delivered,32,Late,1,Corporate,7,376,2630,15,8,PayPal,1,7,0,Online,Tablets,Apple,Tablets,362,10,17,In Stock,Inactive,"Mesa, Arizona",Old Customer,Young,0.11464668823429253,0.2775698528683736,8,375.7142857142857,0.058823529411764705
68,Platinum,FEMALE,4,12,12,28.66,340.47,3.49,28.66,USD,Wallet,Pending,0,On-Time,1,Corporate,10,18,178,0,10,PayPal,1,10,0,Online,Smart Watches,Other Brands,Smart Watches,1549,0,19,In Stock,Archived,"Houston, Texas",New Customer,Young,0.08417775428084706,0.12177250523377531,0,17.8,0.05263157894736842
69,Silver,MALE,5,5,6,286.99,1671.23,50.72,286.99,EUR,Debit Card,Cancelled,93,Late,1,SME,6,659,3954,5,10,Debit Card,1,6,1,Online,Smart Watches,Sony,Smart Watches,194,10,7,In Stock,Active,"Houston, Texas",Old Customer,Old,0.1717238201803462,0.176730896546918,1,659.0,0.14285714285714285
70,Gold,FEMALE,1,2,12,49.57,578.64,16.21,49.57,NGN,Auto-Debit,Delivered,116,Late,1,SME,6,655,3928,5,5,Mobile Money,1,6,0,Online,Smart Watches,Sony,Smart Watches,545,10,19,In Stock,Inactive,"Houston, Texas",Old Customer,Young,0.0856663901562284,0.32701230583013924,10,654.6666666666666,0.05263157894736842
71,Platinum,FEMALE,5,2,6,262.61,1546.38,29.28,262.61,EUR,Bank Transfer,Cancelled,0,On-Time,1,Retail,5,369,1847,5,5,Debit Card,1,5,1,Online,Smart Watches,Samsung,Smart Watches,314,5,4,In Stock,Archived,"Arlington, Virginia",New Customer,Old,0.1698224239837556,0.11149613495297209,4,369.4,0.25
72,Bronze,FEMALE,2,1,3,1102.66,3243.89,64.09,1102.66,EUR,Bank Transfer,Pending,24,Late,1,Retail,7,282,1977,5,8,Debit Card,1,7,0,Online,Headphones,HP,Headphones,49,10,16,In Stock,Inactive,"Arlington, Virginia",Old Customer,Young,0.33991904780988264,0.05812308417825984,2,282.42857142857144,0.0625
73,Silver,MALE,3,2,3,145.35,430.46,5.58,145.35,EUR,Debit Card,Shipped,0,On-Time,1,SME,8,33,266,10,5,Credit Card,1,8,0,Online,Smart Watches,Other Brands,Smart Watches,616,20,2,In Stock,Archived,"New York City, New York",New Customer,Old,0.33766203596152955,0.038390092879256967,1,33.25,0.5
74,Silver,MALE,1,1,3,1582.22,4559.67,186.98,1582.22,EUR,Wallet,Returned,0,On-Time,1,Corporate,3,750,2250,5,0,Mobile Money,1,3,0,Online,Tablets,Samsung,Tablets,1444,0,3,In Stock,Active,"Cincinnati, Ohio",New Customer,Middle age,0.3470031822478381,0.11817572777489856,2,750.0,0.3333333333333333
75,Gold,FEMALE,4,2,6,52.57,306.09,9.31,52.57,EUR,Debit Card,Shipped,0,On-Time,1,Retail,8,96,765,5,10,Mobile Money,1,8,0,Online,Smartphones,Other Brands,Smartphones,414,15,10,In Stock,Active,"Cincinnati, Ohio",Old Customer,Middle age,0.1717468718350812,0.17709720372836218,4,95.625,0.1
76,Platinum,MALE,4,1,3,1234.66,3499.3,159.63,1234.66,USD,Auto-Debit,Delivered,0,On-Time,1,Retail,10,618,6176,10,8,PayPal,1,10,0,Online,Tablets,Other Brands,Tablets,477,10,18,In Stock,Inactive,"Cincinnati, Ohio",New Customer,Middle age,0.35283056611322267,0.12929065491714317,2,617.6,0.05555555555555555
